,index,a11,a22,a33,a44,a21r,a31r,a32r,a41r,a42r,a43r,a21i,a31i,a32i,a41i,a42i,a43i,conc,dataset
0,238,0.3149234786684468,0.1457983328653474,0.3451555220975975,0.1941226663686083,0.0746376232820144,0.0243344970834776,0.0877561775154704,0.1386102332808451,0.1066871019478078,0.0095877832512595,0.0721766941219356,-0.1420357375111696,0.0013558960051497,0.0725879689665153,-0.0772596516810931,0.0195118170740791,0.0517512080231347,A
1,66,0.1168704060237391,0.395991454555157,0.2195313138008,0.2676068256203037,-0.1726308281393758,0.0031569471534999,-0.0883393792809598,0.0165776202570708,-0.1318316518526491,0.120185300850606,0.033877977653907,0.0414053239696144,-0.0503695039445725,0.000184362491934,0.0665956035670765,-0.0616903209399647,0.147197007797436,A
2,196,0.3622396452132028,0.1823730110467814,0.2720936963857528,0.1832936473542627,-0.010914439177677,-0.013639284237488,-0.0891280234614557,0.0713309763022172,0.01845681006447,0.1446290973325386,0.1832432014984666,-0.0079780012009077,-0.0168523826180133,0.1166040279391127,-0.1158355683494423,0.0795951335037458,0.2367615377286347,A
3,733,0.0986266510827157,0.6024641279012385,0.0320172090366479,0.266892011979398,-0.1585459617019782,-0.0245327186648057,0.134347166856223,0.1346721055634676,-0.0466353752415249,0.0128795909220081,0.1851545229271024,0.0505558682965028,-0.0352144668822616,0.0904770099271539,-0.3982687597804492,-0.091538262357539,0.5782502684513716,B
4,855,0.5282511975260881,0.3706244900556765,0.0162135704086984,0.0849107420095373,0.1149773516357198,0.0273631640109368,-0.0655532526768906,-0.0829159970710668,-0.1756770740646432,0.0283207114837159,-0.4272739628332656,0.088408683057034,0.0413753226958462,0.1948823711346864,-0.0246488560712206,0.0239717249083703,0.5092577069607951,B
5,289,0.3683688030437869,0.0834512106303447,0.1248827351800668,0.4232972511458016,0.0076177761483193,0.0348132393330255,-0.0535942946938657,-0.1799352818839967,-0.0194449365740313,0.0818398629511084,-0.0182421993677442,0.146346406732011,-0.0038543619295198,0.2439249767777817,0.0912913877098941,0.0108696415134454,0.5146959359002179,A
6,387,0.2366410418073125,0.1076942102046902,0.350142893051269,0.3055218549367282,0.088865278810336,-0.0007060155046352,-0.0867921004158505,-0.0073728183098559,-0.0350157114022881,-0.0506215200130839,-0.029513078747497,0.1924948039701819,0.040212013638917,-0.1002089539075415,-0.1446480617827098,0.026341891260107,0.2456861875646599,A
7,704,0.4078708552267324,0.21999586666382,0.3459432487081964,0.026190029401251,-0.2758823144182676,0.3477339609692946,-0.2758523097041174,0.1026121296144222,-0.0658685058897698,0.08317607992213,0.1166998323637981,-0.1420607655164907,-0.0034041220543304,0.0123652960455683,-0.0377231778609451,0.0462817845768657,0.6982254574569581,B
8,985,0.1950337145233805,0.2798016309185435,0.0061140907666652,0.5190505637914113,-0.1264547168225137,0.0204465580668217,-0.0412823966056587,0.2681723793141057,-0.0014418425686029,0.0036841712850225,-0.196417809785878,0.0278279014008585,0.0025487837472065,-0.1712189663988929,0.38108937976285,-0.0562134249219174,0.5719867648726311,B
9,434,0.1370164220670788,0.2542470432630206,0.2674962059658452,0.3412403287040552,0.0570281889974858,-0.0017012078859944,-0.1979213014744767,-0.0550083522615723,-0.2024463530382382,0.12467311111703,0.0900513701435729,-0.1027097597178732,0.0017110514977418,0.0025323438006203,0.0691713609135096,0.0516560832014087,0.15394363514237,A
10,778,0.2080421672921022,0.3677160175296277,0.1204951865010559,0.3037466286772139,-0.1252817273098642,-0.0554496627693055,-0.1423864796996109,0.0636231772269548,-0.3265666570897679,0.1564033117056378,-0.2465865487757619,0.1483017688590262,-0.1550293537057107,0.2431958023018171,-0.0710402640229442,-0.1101726407010242,0.6077989253915199,B
11,207,0.08860974383864,0.1581262572330049,0.3008677145808797,0.4523962843474752,0.0361888373185276,0.0422567047077889,-0.0918489757209762,0.0263166446738081,0.0426527828220456,0.187752193407686,0.0647263840877223,-0.041315411095781,-0.022176892799352,-0.0148543587040802,-0.0911975935657366,-0.0192408487211431,0.0,A
12,310,0.3348157016921865,0.2472504194159335,0.2624908381788549,0.1554430407130249,0.1624143605009347,-0.0623458139769615,0.0170712002587185,-0.0185389831550212,-0.0066556674518583,0.1315685333232537,-0.2072218027906049,0.0143057911726411,-0.00321618553525,0.0327077234452409,0.0584666145374607,0.0355706231913546,0.0636234974199553,A
13,25,0.1778816292061508,0.3164576289849825,0.3299823489585771,0.1756783928502895,0.1514458725170393,-0.0339076401581196,-0.0400360648856894,0.0465912432342483,0.0526183184304625,0.0054720459605268,-0.0621508089145025,0.0448936342756784,-0.0958643461601605,0.0048772215961031,-0.0409045048717228,0.1092234096370081,0.0529176381775727,A
14,149,0.397003714830258,0.1176778949360537,0.1551059127915097,0.3302124774421784,0.0724405134581201,0.0770314004088841,0.0255667565348775,-0.1186950661701541,-0.0237607909774765,0.1468768387786282,-0.0450279892077301,-0.047098722602048,-0.0190483160494502,-0.0866227953933671,-0.118726318835154,-0.0486947957140791,0.0879009475119055,A
